Date,PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI
2015-03-02,60.78,141.54,18.21,15.63,9.07,29.48,34.75,189.0
2015-03-03,91.83,141.54,28.71,15.63,12.99,39.71,38.46,408.0
2015-03-04,93.88,141.54,29.38,15.63,18.21,62.75,46.79,383.0
2015-03-05,173.01,141.54,42.27,15.63,48.44,78.76,59.39,780.0
2015-03-06,139.23,141.54,29.185,15.63,25.47,54.025000000000006,64.64500000000001,583.3333333333334
2015-03-07,105.45,141.54,16.1,15.63,2.5,29.29,69.9,386.6666666666667
2015-03-08,71.56,141.54,16.83,15.63,3.51,30.28,57.16,190.0
2015-03-09,119.8,141.54,24.07,15.63,4.13,50.35,50.49,233.0
2015-03-10,106.71,141.54,25.59,15.63,5.39,38.85,60.17,297.0
2015-03-11,118.49,141.54,28.94,15.63,4.11,54.2,53.61,330.0
2015-03-12,106.01,141.54,27.31,15.63,4.28,70.29,40.91,252.0
2015-03-13,97.34,141.54,21.58,15.63,3.67,64.39,45.69,244.0
2015-03-14,83.92,141.54,25.03,15.63,6.42,67.53,34.94,234.0
2015-03-15,49.51,141.54,14.16,15.63,3.1,48.33,37.95,219.0
2015-03-16,30.76,141.54,14.14,15.63,2.72,43.62,54.78,118.0
2015-03-17,50.29,141.54,29.84,15.63,5.34,59.23,45.44,231.0
2015-03-18,57.69,141.54,29.48,15.63,25.36,58.33,52.87,286.0
2015-03-19,105.06,141.54,37.05,15.63,46.24,53.62,45.65,316.52789699570815
2015-03-20,94.1,141.54,36.53,15.63,22.14,61.31,46.77,720.0
2015-03-21,111.89,141.54,43.29,15.63,22.25,66.44,50.57,570.0
2015-03-22,108.59,141.54,39.34,15.63,25.38,75.8,46.68,589.0
2015-03-23,130.76,141.54,41.03,15.63,45.61,65.77,41.58,818.0
2015-03-24,143.55,141.54,31.15,15.63,27.3,50.98,35.38,737.0
2015-03-25,165.07,141.54,34.48,15.63,23.83,64.32,43.79,585.0
2015-03-26,166.85,141.54,43.3,15.63,17.93,79.71,53.44,616.0
2015-03-27,147.38,141.54,35.82,15.63,6.4,46.89,17.94,437.0
2015-03-28,158.25,141.54,27.89,15.63,5.86,50.03,38.54,321.0
2015-03-29,72.3,141.54,21.8,15.63,4.99,96.28,39.77,372.0
2015-03-30,133.37,141.54,17.99,15.63,3.88,57.34,39.66,339.0
2015-03-31,133.3,141.54,20.0,15.63,6.52,51.58,59.03,339.0
2015-04-01,96.04,141.54,20.07,15.63,3.8,62.42,46.61,324.0
2015-04-02,77.69,141.54,18.87,15.63,5.24,100.48,27.14,222.0
2015-04-03,53.07,141.54,13.82,15.63,4.17,40.36,21.76,169.0
2015-04-04,63.11,141.54,15.5,15.63,5.63,38.21,4.72,220.0
2015-04-05,156.76,141.54,16.7,15.63,3.92,26.32,37.11,261.5
2015-04-06,120.96,141.54,20.86,15.63,4.23,35.54,35.66,303.0
2015-04-07,138.63,141.54,25.47,15.63,5.65,87.43,29.77,314.0
2015-04-08,144.36,141.54,30.69,15.63,15.82,66.39,27.34,378.0
2015-04-09,85.03,141.54,26.7,15.63,3.3,59.16,35.89,415.0
2015-04-10,134.6,141.54,26.27,15.63,5.9,34.53,7.0,270.5
2015-04-11,61.06,141.54,14.03,15.63,3.52,8.08,19.54,126.0
2015-04-12,39.42,141.54,19.56,15.63,5.28,17.66,31.3,175.0
2015-04-13,111.86,141.54,22.51,15.63,3.89,15.84,31.23,226.0
2015-04-14,58.37,141.54,21.71,15.63,5.74,25.9,43.92,244.0
2015-04-15,95.37,141.54,26.23,15.63,18.01,13.59,41.64,315.0
2015-04-16,141.3,141.54,36.88,15.63,30.8,41.06,37.66,678.0
2015-04-17,106.68,141.54,46.38,15.63,19.91,31.56,48.49,774.0
2015-04-18,109.48,141.54,20.27,15.63,4.3,46.6,31.34,285.0
2015-04-19,126.04,141.54,20.18,15.63,6.99,79.56,28.71,321.0
2015-04-20,71.22,141.54,21.32,15.63,16.73,50.09,28.39,358.0
2015-04-21,97.87,141.54,17.96,15.63,6.3,13.85,34.16,357.0
2015-04-22,63.38,141.54,13.28,15.63,3.44,24.79,43.62,189.0
2015-04-23,75.29,141.54,14.29,15.63,3.35,76.05,60.71,201.5
2015-04-24,80.9,141.54,18.62,15.63,5.7,65.44,22.8,214.0
2015-04-25,103.29,141.54,19.82,15.63,4.55,85.42,22.18,253.0
2015-04-26,107.5,141.54,15.56,15.63,5.29,74.37,10.12,239.0
2015-04-27,161.14,141.54,14.77,15.63,3.11,118.35,59.73,259.3333333333333
2015-04-28,102.58,141.54,12.74,15.63,3.88,41.94,26.89,279.6666666666667
2015-04-29,138.42,141.54,16.7,15.63,5.05,77.74,27.18,300.0
2015-04-30,129.04,141.54,14.86,15.63,5.69,78.27,18.67,317.0
